id,mission,disposition,label,orbital_period_days,transit_duration_hours,transit_depth_ppm,planet_radius_re,equilibrium_temp_k,insolation_flux_earth,stellar_teff_k,stellar_radius_re,apparent_mag,ra,dec
10797460,Kepler,CONFIRMED,1,9.48803557,2.9575,615.8,2.26,793.0,93.59,5455.0,0.927,15.347,291.93423,48.141651
10797460,Kepler,CONFIRMED,1,54.4183827,4.507,874.8,2.83,443.0,9.11,5455.0,0.927,15.347,291.93423,48.141651
10848459,Kepler,FALSE POSITIVE,0,1.736952453,2.40641,8079.2,33.46,1395.0,891.96,5805.0,0.791,15.597,285.53461,48.28521
10854555,Kepler,CONFIRMED,1,2.525591777,1.6545,603.3,2.75,1406.0,926.16,6031.0,1.046,15.509,288.75488,48.2262
10872983,Kepler,CONFIRMED,1,11.09432054,4.5945,1517.5,3.9,835.0,114.81,6046.0,0.972,15.714,296.28613,48.22467
10872983,Kepler,CONFIRMED,1,4.13443512,3.1402,686.0,2.77,1160.0,427.65,6046.0,0.972,15.714,296.28613,48.22467
10872983,Kepler,CONFIRMED,1,2.56658897,2.429,226.5,1.59,1360.0,807.74,6046.0,0.972,15.714,296.28613,48.22467
6721123,Kepler,FALSE POSITIVE,0,7.36178958,5.022,233.7,39.21,1342.0,767.22,6227.0,1.958,12.66,298.86435,42.151569
10910878,Kepler,CONFIRMED,1,16.06864674,3.5347,4914.3,5.76,600.0,30.75,5031.0,0.848,15.841,286.99948,48.37579
11446443,Kepler,CONFIRMED,1,2.470613377,1.74319,14231.0,13.04,1339.0,761.46,5820.0,0.964,11.338,286.80847,49.316399
10666592,Kepler,CONFIRMED,1,2.204735417,3.88864,6674.7,16.1,2048.0,4148.92,6440.0,1.952,10.463,292.24728,47.969521
6922244,Kepler,CONFIRMED,1,3.522498429,3.19843,9145.7,14.59,1521.0,1264.67,6225.0,1.451,13.563,281.28812,42.45108
10984090,Kepler,CONFIRMED,1,3.709214104,2.6302,131.1,1.16,1206.0,500.46,5833.0,1.022,12.772,295.64871,48.49556
10419211,Kepler,FALSE POSITIVE,0,11.521446064,3.6399,17984.0,150.51,753.0,75.88,5795.0,0.848,15.472,297.07993,47.597401
10464078,Kepler,FALSE POSITIVE,0,19.40393776,12.2155,8918.7,7.18,523.0,17.69,5043.0,0.68,15.487,289.25821,47.635319
10480982,Kepler,FALSE POSITIVE,0,19.221388942,4.79843,74284.0,49.29,698.0,55.97,6117.0,0.947,15.341,295.81454,47.69035
10485250,Kepler,FALSE POSITIVE,0,16.46983774,9.4378,10479.0,7.94,595.0,29.61,5152.0,0.786,15.788,297.15442,47.668701
10526549,Kepler,CONFIRMED,1,9.27358173,3.2875,1288.3,2.47,649.0,41.85,4856.0,0.696,15.302,288.13824,47.724449
10583066,Kepler,CONFIRMED,1,6.02930329,1.5821,1912.7,2.85,678.0,50.04,4537.0,0.672,15.784,283.71088,47.86327
10583180,Kepler,FALSE POSITIVE,0,2.696370652,3.6129,397.9,1.58,1066.0,305.34,4989.0,0.819,15.269,283.76547,47.804298
10601284,Kepler,CONFIRMED,1,5.349553819,3.0278,831.0,2.55,919.0,168.99,5185.0,0.91,15.416,292.37613,47.880989
10601284,Kepler,CONFIRMED,1,3.94105221,2.5984,363.3,1.7,1018.0,253.15,5185.0,0.91,15.416,292.37613,47.880989
10601284,Kepler,CONFIRMED,1,8.10904807,3.596,217.4,1.3,800.0,97.03,5185.0,0.91,15.416,292.37613,47.880989
2306756,Kepler,FALSE POSITIVE,0,386.6030528,6.8057,24927.0,41.5,297.0,1.84,5543.0,1.58,12.394,292.27374,37.671558
10662202,Kepler,CONFIRMED,1,21.67699193,3.4555,857.2,2.95,530.0,18.64,4954.0,0.828,15.377,290.46512,47.92918
10682541,Kepler,CONFIRMED,1,4.99677968,2.1717,934.7,2.78,917.0,166.95,5339.0,0.847,15.861,297.80826,47.946671
11460018,Kepler,CONFIRMED,1,4.280963604,2.875,750.8,2.3,1012.0,247.87,5644.0,0.831,15.356,294.26581,49.314091
11463211,Kepler,FALSE POSITIVE,0,1.50635409,1.5155,2211.7,4.53,1452.0,1054.12,5714.0,0.831,15.525,295.66522,49.351009
11465813,Kepler,FALSE POSITIVE,0,670.645531,53.412,18091.0,14.14,196.0,0.35,5520.0,0.983,15.207,296.69861,49.316479
11493732,Kepler,FALSE POSITIVE,0,61.2563628,7.633,5123.3,39.87,505.0,15.43,6144.0,1.091,15.25,283.72592,49.479519
11507101,Kepler,CONFIRMED,1,38.3775486,5.588,724.2,2.82,529.0,18.53,5481.0,1.036,15.172,291.72202,49.480869
10910878,Kepler,CONFIRMED,1,41.19725502,4.6297,2213.9,3.86,439.0,8.76,5031.0,0.848,15.841,286.99948,48.37579
10910878,Kepler,CONFIRMED,1,6.252962249,2.5819,1036.9,2.65,823.0,108.3,5031.0,0.848,15.841,286.99948,48.37579
10987985,Kepler,CONFIRMED,1,16.01308419,3.2554,1121.9,3.1,593.0,29.31,5015.0,0.826,15.39,297.02563,48.478588
11018648,Kepler,CONFIRMED,1,32.62876672,4.7971,1804.8,3.36,506.0,15.55,5586.0,0.798,15.082,285.71854,48.505859
11018648,Kepler,CONFIRMED,1,91.7732862,6.473,652.0,2.12,359.0,3.92,5586.0,0.798,15.082,285.71854,48.505859
11138155,Kepler,CONFIRMED,1,4.959319244,2.22739,9802.0,12.21,1103.0,349.4,5712.0,1.082,15.263,292.16705,48.727589
11152159,Kepler,FALSE POSITIVE,0,2.701287801,3.3827,860.4,6.54,1222.0,527.81,5550.0,0.91,15.54,297.92365,48.777321
11153539,Kepler,CONFIRMED,1,4.49876511,3.7362,460.0,2.1,1133.0,389.62,6075.0,0.969,15.395,298.45685,48.791592
11242721,Kepler,FALSE POSITIVE,0,19.651209505,5.2514,11766.0,12.42,730.0,67.03,6074.0,1.063,15.536,291.0939,48.933842
9579641,Kepler,CONFIRMED,1,5.412203927,2.9472,601.6,2.94,1093.0,337.68,5779.0,1.087,12.791,287.88733,46.276241
11304958,Kepler,CONFIRMED,1,41.43958662,10.5989,2793.1,5.5,516.0,16.72,5468.0,1.046,15.4,295.55505,49.017342
11391957,Kepler,CONFIRMED,1,8.35389523,2.2514,1041.6,2.52,790.0,91.9,5592.0,0.787,15.317,285.49924,49.277351
11403044,Kepler,CONFIRMED,1,4.125543472,3.1744,1487.3,4.43,1243.0,565.35,6174.0,1.103,15.506,291.93616,49.253979
11414511,Kepler,CONFIRMED,1,2.816504904,2.50587,16814.0,12.21,1219.0,521.13,5532.0,0.955,15.052,297.01547,49.225288
11442465,Kepler,FALSE POSITIVE,0,33.93373447,14.561,8503.7,7.34,430.0,8.11,5040.0,0.705,15.716,284.17233,49.360722
